,Unnamed: 0,carat,cut,cut_ord,color,clarity,clarity_ord,price
0,1,0.51,Premium,4,F,VS1,4,1749
1,2,2.25,Fair,1,G,I1,1,7069
2,3,0.7,Very Good,3,E,VS2,5,2757
3,4,0.47,Good,2,F,VS1,4,1243
4,5,0.3,Ideal,5,G,VVS1,7,789
5,6,0.33,Ideal,5,D,SI1,3,728
6,7,2.01,Very Good,3,G,SI1,3,18398
7,8,0.51,Ideal,5,F,VVS2,6,2203
8,9,1.7,Premium,4,D,SI1,3,15100
9,10,0.53,Premium,4,D,VS2,5,1857
10,11,0.39,Premium,4,H,SI1,3,834
11,12,1.5,Very Good,3,H,SI1,3,7708
12,13,1.0,Premium,4,E,VS2,5,6272
13,14,1.29,Ideal,5,J,VS1,4,5676
14,15,2.01,Good,2,D,SI2,2,16776
15,16,1.13,Ideal,5,G,VS1,4,7404
16,17,0.7,Ideal,5,I,SI2,2,1702
17,18,0.38,Very Good,3,I,VS1,4,606
18,19,1.17,Ideal,5,H,SI2,2,5423
19,20,1.51,Premium,4,F,SI1,3,8033
20,21,0.4,Ideal,5,D,VVS1,7,1279
21,22,0.41,Very Good,3,F,VS2,5,863
22,23,0.51,Ideal,5,G,VVS1,7,1893
23,24,1.0,Premium,4,H,SI2,2,3584
24,25,1.09,Ideal,5,F,VVS2,6,10196
25,26,0.39,Good,2,E,VS1,4,1082
26,27,0.72,Premium,4,E,VS2,5,3024
27,28,1.14,Very Good,3,E,SI2,2,5593
28,29,0.3,Ideal,5,D,VS2,5,710
29,30,0.3,Ideal,5,H,SI1,3,465
30,31,0.71,Very Good,3,H,SI1,3,2188
31,32,1.22,Very Good,3,H,SI2,2,5192
32,33,1.53,Ideal,5,H,SI2,2,9562
33,34,0.5,Premium,4,F,VS2,5,1436
34,35,0.42,Ideal,5,G,VS2,5,1087
35,36,1.22,Ideal,5,H,SI1,3,6727
36,37,0.3,Ideal,5,I,VVS1,7,552
37,38,0.25,Ideal,5,G,VVS2,6,525
38,39,0.33,Very Good,3,H,VS1,4,579
39,40,1.2,Ideal,5,G,SI1,3,6741
40,41,0.7,Ideal,5,G,VVS2,6,3205
41,42,0.31,Premium,4,F,VS2,5,802
42,43,0.41,Ideal,5,F,VS2,5,1107
43,44,0.9,Ideal,5,E,SI2,2,3200
44,45,1.44,Good,2,G,I1,1,5987
45,46,0.7,Good,2,G,SI1,3,2218
46,47,0.35,Premium,4,E,SI1,3,788
47,48,0.54,Premium,4,D,SI1,3,1595
48,49,1.71,Very Good,3,F,VS2,5,13818
49,50,1.01,Premium,4,F,VS2,5,6244
50,51,0.43,Ideal,5,G,SI2,2,935
51,52,0.71,Ideal,5,E,VS2,5,3304
52,53,0.32,Very Good,3,F,VS2,5,602
53,54,1.13,Ideal,5,G,VS2,5,6891
54,55,0.91,Premium,4,E,SI2,2,3639
55,56,1.02,Very Good,3,E,SI1,3,5278
56,57,0.36,Ideal,5,E,VS1,4,1094
57,58,0.3,Premium,4,G,VS1,4,776
58,59,0.3,Ideal,5,G,IF,8,863
59,60,0.77,Ideal,5,I,SI1,3,2475
60,61,0.4,Ideal,5,H,VS1,4,815
61,62,0.7,Very Good,3,I,VVS1,7,2513
62,63,0.4,Very Good,3,E,VVS2,6,1075
63,64,0.58,Ideal,5,F,SI1,3,1401
64,65,1.01,Premium,4,E,SI1,3,5656
65,66,1.3,Premium,4,F,SI1,3,8164
66,67,0.34,Ideal,5,D,I1,1,413
67,68,0.33,Ideal,5,E,VVS2,6,802
68,69,1.22,Premium,4,E,SI2,2,6121
69,70,0.26,Ideal,5,F,VS1,4,452
70,71,0.57,Premium,4,I,VVS1,7,1608
71,72,1.01,Premium,4,F,SI2,2,4137
72,73,0.31,Ideal,5,H,VS1,4,544
73,74,1.01,Ideal,5,J,VS2,5,4617
74,75,0.51,Fair,1,H,VS1,4,1234
75,76,0.42,Ideal,5,D,VVS2,6,1210
76,77,0.31,Very Good,3,I,SI1,3,408
77,78,0.28,Very Good,3,F,VVS1,7,642
78,79,0.42,Very Good,3,G,VS2,5,854
79,80,0.5,Ideal,5,E,SI1,3,1555
80,81,0.79,Ideal,5,E,VS1,4,4240
81,82,1.03,Ideal,5,G,SI2,2,4928
82,83,0.73,Ideal,5,G,VVS1,7,4182
83,84,1.01,Very Good,3,D,SI2,2,4606
84,85,1.12,Ideal,5,G,VS2,5,6774
